28806558	28571360	28386288	28286810	28005599	27854611	27728397	5037211	25530701	28001802	31085300	cactus	UWOPS91-917.1
22099426	21772086	21607472	21501030	21179849	20984587	20832609	15378348	17883675	21263902	24602170	cactus	UFRJ50816
19541249	19349039	19221744	19145908	18925494	18796897	18699634	10933364	15836670	18616041	20991962	cactus	YPS138
20627116	20283263	20092317	19975434	19647034	19485997	19352557	6756742	16391584	19500197	22532640	cactus	N44
19828701	19715255	19613629	19571874	19389515	19313605	19257537	15905262	18145790	19612916	21213748	cactus	CBS432
26160545	25650954	25345684	25182618	24666604	24484079	24339052	13789460	22197243	25460654	29068894	cactus	UWOPS03-461.4
48590495	48373775	47984000	47866288	47356260	47151148	46991166	39348199	44645517	48469508	53088512	cactus	YPS128
20202702	19958025	19798678	19734046	19285219	19171181	19086091	13108119	18126409	19796145	23053128	cactus	Y12
18401318	18118815	17932771	17861761	17329463	17205386	17129177	14893934	17164323	18291511	21906518	cactus	SK1
21312787	20911131	20715837	20622476	19994699	19816535	19693982	12251294	17081781	20024816	24521708	cactus	DBVPG6765
20307462	19854364	19630135	19542039	19178906	19039747	18937288	13881365	17142835	19549531	22531150	cactus	DBVPG6044
16983165	16855142	16724883	16680516	16435413	16346428	16302384	14703848	16773336	17638177	19464114	cactus	S288c
