24037873	23613508	23319182	23129854	22135639	21740956	21285122	121083	9250203	20825721	31085300	construct	UWOPS91-917.1
18188897	17526072	17148524	16903713	15857617	15432673	14990097	102209	6041491	14793739	24602170	construct	UFRJ50816
16002160	15599382	15359652	15197938	14401019	14075444	13714983	62592	5352786	13173185	20991962	construct	YPS138
17400833	16932435	16666956	16481341	15584471	15241091	14876270	84291	6241291	14378470	22532640	construct	N44
16867097	16556371	16344798	16198288	15510088	15230430	14921760	184669	6986881	14682845	21213748	construct	CBS432
25831543	25416085	25122930	24967957	24490327	24321045	24181103	8087950	21825285	25174386	29068894	construct	UWOPS03-461.4
48544266	48203594	47752902	47548886	47109962	46904570	46736423	20189327	43948162	47998820	53088512	construct	YPS128
20017324	19797762	19639915	19564508	19209549	19116894	19042741	8402301	17908250	19630958	23053128	construct	Y12
18067377	17826767	17643031	17545876	17102338	17009124	16938074	6958818	16698045	17923397	21906518	construct	SK1
20954219	20691192	20522361	20435663	19932954	19800096	19689715	9698640	16933086	19905359	24521708	construct	DBVPG6765
20017763	19692210	19486367	19392918	18987829	18870652	18767645	6467895	16794886	19288796	22531150	construct	DBVPG6044
17001741	16916909	16801044	16756767	16536542	16474689	16429996	14644875	16741763	17602564	19464114	construct	S288c
